NWD177315 SRR8004574
NWD189713 SRR8004671
NWD176178 SRR8004566
NWD174186 SRR8004551
NWD186546 SRR8004644
NWD661904 SRR8008443
NWD640106 SRR8008273
NWD649958 SRR8008343
NWD644097 SRR8008302
NWD655015 SRR8008378
NWD637532 SRR8008256
NWD706906 SRR8008809
NWD656326 SRR8008383
NWD668331 SRR8008494
NWD717372 SRR8008898
NWD723581 SRR8008954
NWD676743 SRR8008561
NWD712749 SRR8008860
NWD716773 SRR8008893
NWD104716 SRR8003987
NWD111716 SRR8004034
NWD111883 SRR8004037
NWD116336 SRR8004073
NWD113151 SRR8004046
NWD115124 SRR8004062
NWD118507 SRR8004088
NWD123737 SRR8004138
NWD126312 SRR8004171
NWD125310 SRR8004156
NWD575902 SRR8007729
NWD607488 SRR8008011
NWD604404 SRR8007982
NWD628170 SRR8008176
NWD106020 SRR8003995
NWD107903 SRR8004008
NWD108273 SRR8004013
NWD189875 SRR8004674
NWD190032 SRR8004678
NWD196243 SRR8004725
NWD224117 SRR8004941
NWD229064 SRR8004993
NWD230888 SRR8005005
NWD220487 SRR8004909
NWD220357 SRR8004906
NWD235648 SRR8005037
NWD224365 SRR8004944
NWD238578 SRR8005067
NWD227888 SRR8004984
NWD238746 SRR8005068
NWD246042 SRR8005131
NWD237532 SRR8005054
NWD233888 SRR8005026
NWD251499 SRR8005169
NWD253899 SRR8005182
NWD254306 SRR8005186
NWD241708 SRR8005093
NWD244548 SRR8005118
NWD258660 SRR8005223
NWD253383 SRR8005180
NWD245841 SRR8005128
NWD261686 SRR8005247
NWD258222 SRR8005217
NWD259019 SRR8005227
NWD264434 SRR8005266
NWD267796 SRR8005288
NWD267258 SRR8005283
NWD256286 SRR8005205
NWD266588 SRR8005280
NWD269840 SRR8005307
NWD261858 SRR8005248
NWD258244 SRR8005218
NWD244286 SRR8005114
NWD248616 SRR8005152
NWD201596 SRR8004768
NWD204090 SRR8004783
NWD205483 SRR8004799
NWD212589 SRR8004852
NWD214580 SRR8004866
NWD224534 SRR8004947
NWD190566 SRR8004684
NWD217782 SRR8004886
NWD866196 SRR8010131
NWD870191 SRR8010167
NWD871121 SRR8010173
NWD887768 SRR8010300
NWD891762 SRR8010316
NWD872935 SRR8010193
NWD910061 SRR8010451
NWD925028 SRR8010582
NWD913253 SRR8010475
NWD907625 SRR8010432
NWD890810 SRR8010314
NWD935202 SRR8010670
NWD916261 SRR8010505
NWD927990 SRR8010605
NWD925195 SRR8010583
NWD940025 SRR8010721
NWD947805 SRR8010773
NWD938701 SRR8010706
NWD956832 SRR8010852
NWD959194 SRR8010882
NWD941097 SRR8010730
NWD975775 SRR8011011
NWD938391 SRR8010703
NWD977656 SRR8011023
NWD953842 SRR8010818
NWD996908 SRR8011179
NWD956463 SRR8010845
NWD955272 SRR8010832
NWD988402 SRR8011110
NWD998625 SRR8011193
NWD998241 SRR8011189
NWD274058 SRR8005343
NWD279532 SRR8005379
NWD279454 SRR8005378
NWD291151 SRR8005468
NWD285081 SRR8005421
NWD291409 SRR8005471
NWD311217 SRR8005643
NWD312889 SRR8005656
NWD324147 SRR8005739
NWD333646 SRR8005809
NWD318122 SRR8005690
NWD336926 SRR8005828
NWD342743 SRR8005877
NWD344852 SRR8005890
NWD327686 SRR8005768
NWD351658 SRR8005950
NWD324942 SRR8005743
NWD345512 SRR8005898
NWD366154 SRR8006059
NWD370046 SRR8006092
NWD358234 SRR8006001
NWD289812 SRR8005458
NWD374956 SRR8006140
NWD384091 SRR8006210
NWD386444 SRR8006223
NWD384963 SRR8006216
NWD385226 SRR8006218
NWD387261 SRR8006226
NWD415542 SRR8006443
NWD388796 SRR8006238
NWD401770 SRR8006341
NWD417976 SRR8006463
NWD390968 SRR8006253
NWD402809 SRR8006346
NWD416824 SRR8006453
NWD418584 SRR8006472
NWD419234 SRR8006481
NWD397173 SRR8006300
NWD398826 SRR8006312
NWD415386 SRR8006441
NWD292146 SRR8005478
NWD321497 SRR8005716
NWD300168 SRR8005543
NWD295024 SRR8005499
NWD299389 SRR8005537
NWD757723 SRR8009231
NWD768441 SRR8009320
NWD770217 SRR8009336
NWD771855 SRR8009345
NWD762059 SRR8009264
NWD785011 SRR8009445
NWD791338 SRR8009503
NWD793684 SRR8009519
NWD808063 SRR8009636
NWD803873 SRR8009606
NWD803952 SRR8009608
NWD806606 SRR8009626
NWD817986 SRR8009735
NWD827731 SRR8009795
NWD829243 SRR8009810
NWD858072 SRR8010060
NWD871175 SRR8010174
NWD873698 SRR8010204
NWD886883 SRR8010295
NWD910871 SRR8010457
NWD906936 SRR8010429
NWD903483 SRR8010405
NWD898908 SRR8010371
NWD958243 SRR8010868
NWD950608 SRR8010797
NWD946093 SRR8010764
NWD968784 SRR8010947
NWD979693 SRR8011044
NWD982361 SRR8011063
NWD964806 SRR8010921
NWD991992 SRR8011146
NWD994291 SRR8011159
NWD913501 SRR8010477
NWD936638 SRR8010685
NWD929332 SRR8010615
NWD435743 SRR8006607
NWD436915 SRR8006617
NWD420540 SRR8006489
NWD438706 SRR8006633
NWD437225 SRR8006623
NWD443469 SRR8006667
NWD425235 SRR8006528
NWD445610 SRR8006685
NWD445632 SRR8006687
NWD447816 SRR8006709
NWD447432 SRR8006706
NWD464729 SRR8006845
NWD458666 SRR8006799
NWD468686 SRR8006881
NWD465455 SRR8006849
NWD470774 SRR8006894
NWD480787 SRR8006980
NWD477963 SRR8006945
NWD477178 SRR8006940
NWD482764 SRR8006991
NWD483591 SRR8007002
NWD483032 SRR8006994
NWD479829 SRR8006968
NWD487238 SRR8007038
NWD488834 SRR8007054
NWD489755 SRR8007062
NWD495956 SRR8007109
NWD494287 SRR8007097
NWD497571 SRR8007114
NWD497753 SRR8007117
NWD502103 SRR8007143
